Case Number,Date,Year,Country,Area,Location,Injury,Fatal (Y/N),Month,Hemisphere,Season,year_by_50
1877.01.28,  28-Jan-1877,1877,AUSTRALIA,Victoria,Emerald Hill,FATAL,Y,1,South,Summer,1900
1877.01.24.R,Reported 24-Jan-1877,1877,AUSTRALIA,Victoria,Boarding School Bay,Ankle injured,N,1,South,Summer,1900
1877.01.04,04-Jan-1877,1877,SOUTH AFRICA,KwaZulu-Natal,Durban,"Although his body was bitten by a shark/s, bruises on his neck & face suggested foul play & a shipmate taken into custody but no charges made",,1,South,Summer,1900
1877.04.04.,04-Apr-1877,1877,AUSTRALIA,Victoria,Portarlington,Thigh & foot bitten,N,4,South,Autumn,1900
1878.11.17,17-Nov-1878,1878,AUSTRALIA,New South Wales,"Lane Cove River, Sydney Harbor ",Laceration to leg,N,11,South,Spring,1900
1878.10.24.R,Reported 24-Oct-1878,1878,INDONESIA,East Java,Probolinggo,FATAL,Y,10,South,Spring,1900
1878.09.14.R,Reported 14-Sep-1878,1878,USA,Connecticut,"Branford, New Haven County",Leg bitten by netted shark PROVOKED INCIDENT,N,9,North,Autumn,1900
1878.09.02.a,02-Sep-1878,1878,SOUTH ATLANTIC OCEAN,Off the coast of West Africa,Not applicable,"FATAL, 2 of the crew were killed by sharks",Y,9,South,Spring,1900
1878.09.02.b,02-Sep-1878,1878,SOUTH ATLANTIC OCEAN,Off the coast of West Africa,Not applicable, Du Val's leg was bitten but he survived,N,9,South,Spring,1900
1878.08.08,08-Aug-1878,1878,USA,New York,Brooklyn,FATAL,Y,8,North,Summer,1900
1878.02.02,02-Feb-1878,1878,BRAZIL,Not applicable,Not applicable,FATAL,Y,2,South,Summer,1900
1878.02.13,13-Feb-1878,1878,SOUTH AFRICA,Western Cape Province,Olifantbos Point,"FATAL, shark removed large part of his hip",Y,2,South,Summer,1900
1878.08.09,09-Aug-1878,1878,USA,New York,East River,FATAL?,Y,8,North,Summer,1900
1878.06.10,10-Jun-1978,1878,PHILIPPINES,Misamis Oriental,Cagayan de Oro,FATAL,Y,6,North,Summer,1900
1878.03.30.R,Reported 30-March-1878,1878,PAPUA NEW GUINEA,Not applicable,Not applicable,"""Fearfully injured""",N,3,South,Autumn,1900
1879.03.10,10-Mar-1879,1879,AUSTRALIA,New South Wales,Near Sydney ,Partial  remains found in shark,,3,South,Autumn,1900
1879.03.19,19-Mar-1879,1879,NEW ZEALAND,North Island,Napier,FATAL,Y,3,South,Autumn,1900
1879.07.03,3-Jul-1879,1879,USA,California,"Los Angeles, Los Angeles County",No details,N,7,North,Summer,1900
1879.08.30.R,Reported 30-Aug-1879,1879,FIJI,Lau Group,Totoya  ,"Severely bitten on heel, 20 others taken by sharks",N,8,South,Winter,1900
1879.09.22, 22-Sep-1879,1879,SPAIN,Valencia,Castellon de la Plana,"No injuries to occupants, Hooked shark bit boat  PROVOKED INCIDENT",N,9,North,Autumn,1900
1879.11.10,10-Nov-1879,1879,AUSTRALIA,New South Wales,Clarence Heads,Thigh bitten,N,11,South,Spring,1900
1879.12.24,24-Dec-1879,1879,INDIA,Andaman Islands,Port Blair,FATAL,Y,12,North,Winter,1900
1880.11.25,25-Nov-1880,1880,AUSTRALIA,Queensland,"Petrie Bight, Brisbane River","Feet bitten, surgically amputated FATAL",Y,11,South,Spring,1900
1880.08.08,08-Aug-1880,1880,MOZAMBIQUE,Not applicable,Not applicable,Legs severed FATAL,Y,8,South,Winter,1900
1880.07.25,25-Jul-1880,1880,USA,New York,The Narrows,"Shark bit stern, no injury to occupant",N,7,North,Summer,1900
1880.05.15,15-May-1880,1880,INDIA,West Bengal,Ganges River,"Left hand severed, arm & right calf injured",N,5,North,Spring,1900
1880.10.10,10-Oct-1880,1880,AUSTRALIA,New South Wales,Bermagui,"Disappeared, thought to have murdered or drowned or  taken by a sharks after entrails washed ashore",Y,10,South,Spring,1900
1880.05.07.R,Reported 07-May-1880,1880,MEXICO,Guerro,Acapulco,"Human remains recovered from a 15' shark, probable scavenging",,5,North,Spring,1900
1880.05.02.b,02-May-1880,1880,INDIA,West Bengal,(Calcutta?),"FATAL, left forearm & hand bitten, brachial artery severed, died of secondary hemorrhage 11 days later ",Y,5,North,Spring,1900
1880.05.02.a,02-May-1880,1880,INDIA,West Bengal,"Panihati, 4 miles south of Barrackpore on the Hoogly River","FATAL, right leg severed at mid-thigh, femur severed ",Y,5,North,Spring,1900
1880.05.14,14-May-1880,1880,INDIA,West Bengal,Hoogly River,"Hands, forearm & left thigh lacerated, radial artery severed",N,5,North,Spring,1900
1880.01.22,22-Jan-1880,1880,AUSTRALIA,New South Wales,"Chowder Bay, Sydney","No injury to occupants, shark rammed boat",N,1,South,Summer,1900
1880.01.03,03-Jan-1880,1880,AUSTRALIA,New South Wales,Cooranbong,Lacerations to leg,N,1,South,Summer,1900
1881.11.13,13-Nov-1881,1881,AUSTRALIA,New South Wales,"Johnstone's Bay, Sydney",Shark involvement suspected but not confirmed,,11,South,Spring,1900
1881.10.16,16-Oct-1881,1881,USA,Florida,"Pensacola Bay, Escambia County",FATAL,,10,North,Autumn,1900
1881.09.05,05-Sep-1881,1881,USA,North Carolina,"Elizabeth City, Pasquotank County  ","FATAL, possible post-mortem bites",Y,9,North,Autumn,1900
1881.06.13,13-Jun-1881,1881,USA,Alabama,Mobile Bay,FATAL,Y,6,North,Summer,1900
1881.08.12,12-Aug-1881,1881,USA,Rhode Island,Providence,"No injury, overalls ripped by shark",N,8,North,Summer,1900
1881.06.25,25-Jul-1881,1881,SPAIN,Not applicable,Santa Cruz,Survived,N,7,North,Summer,1900
1881.08.16.R,Reported 16-Aug-1881,1881,AUSTRALIA,Western Banks,Not applicable,FATAL,Y,8,South,Winter,1900
1882.01.23.R,Reported 23-Jan-1882,1882,AUSTRALIA,New South Wales,"Darling Harbor, Sydney",FATAL,Y,1,South,Summer,1900
1882.02.07.R,Reported  07-Feb-1882,1882,AUSTRALIA,Not applicable,Not applicable,FATAL                       Thigh bitten,Y,2,South,Summer,1900
1882.04.15,15-Apr-1882,1882,AUSTRALIA,New South Wales,Lake Macquarie,FATAL,Y,4,South,Autumn,1900
1882.05.12.R,Reported 12-May-1882,1882,AUSTRALIA,Not applicable,Not applicable,FATAL      Torso bitten,Y,5,South,Autumn,1900
1882.05.14,14-May-1882,1882,AUSTRALIA,New South Wales,Millers Point,Laceration to calf,N,5,South,Autumn,1900
1882.11.12.a,12-Nov-1882,1882,NEW ZEALAND,North Island,"Tararu, Thames",Lacerations to thigh,N,11,South,Spring,1900
1882.11.12.b,12-Nov-1882,1882,NEW ZEALAND,North Island,"Tararu, Thames",Sole of foot bitten,N,11,South,Spring,1900
1882.12.03,03-Dec-1882,1882,NEW ZEALAND,South Island,New Brighton,Hand severely nipped PROVOKED INCIDENT ,N,12,South,Summer,1900
1882.01.05.R,Reprted 05-Jan-1882,1882,NORTH ATLANTIC OCEAN,Not applicable,Not applicable,FATAL,Y,1,North,Winter,1900
1883.10.20.R,Reported 20-Oct-1883,1883,URUGUAY,Maldonado coast,Not applicable,FATAL,Y,10,South,Spring,1900
1883.12.19,19-Dec-1883,1883,AUSTRALIA,New South Wales,Parramatta River,FATAL,Y,12,South,Summer,1900
1883.12.18.R,Reported 18-Dec-1883,1883,USA,Texas,Brazos,FATAL,Y,12,North,Winter,1900
1883.10.19.R,Reported 19-Oct-1883,1883,USA,East coast,Not applicable,FATAL,Y,10,North,Autumn,1900
1883.07.05,05-Jul-1883,1883,GEORGIA,Not applicable,"Savannah River, Chatham County",Leg injured by hooked shark PROVOKED INCIDENT,N,7,North,Summer,1900
1883.02.26.R,Reported 26-Feb-1883,1883,AUSTRALIA,Northern Territory,the pearling beds,Arm severed,N,2,South,Summer,1900
1883.02.25.R,Reported 25-Feb-1883,1883,AUSTRALIA,Northern Territory,the pearling beds,FATAL,Y,2,South,Summer,1900
1883.01.21,21-Jan-1883,1883,AUSTRALIA,New South Wales,"Iron Cove, Sydney",FATAL,Y,1,South,Summer,1900
1883.09.14.R,Reported 14-Sep-1883 (probably happened Ca. 1843/1844),1883,AUSTRALIA,Tasmania,Between Port Arthur Penal Colony & Forestier Peninsula,FATAL,Y,9,South,Spring,1900
1884.01.14,14-Jan-1884,1884,AUSTRALIA,South Australia,"Port Pirie, Spencer Gulf, 230 km north of Adelaide",FATAL,Y,1,South,Summer,1900
1884.01.16,16-Jan-1884,1884,SOUTH AFRICA,Eastern Cape Province,"South Jetty, Port Elizabeth",FATAL,Y,1,South,Summer,1900
1884.04.38.R,Reported 28-Apr-1884,1884,BRAZIL,Not applicable,Bahia,FATAL,Y,4,South,Autumn,1900
1884.08.18,18-Aug-1884,1884,USA,New York,Jamaica Bay,Unclear if he sustained any injury from the 7' shark,,8,North,Summer,1900
1884.08.28.R.,Reported 28-Aug-1884,1884,USA,New Jersey,"Bayonne, Hudson County",Hand bitten,N,8,North,Summer,1900
1884.12.08.R,Reported 08-Dec-1884,1884,FRANCE,Côte d'Azur  ,Between Nice & Villefranche,FATAL            Leg severed by harpooned shark PROVOKED INCIDENT,Y,12,North,Winter,1900
1884.12.13,13-Dec-1884,1884,AUSTRALIA,South Australia,Port Phillip,"Cause of death most likely drowning, remains recovered in shark",Y,12,South,Summer,1900
1885.11.26.R,Reported 26-Nov-1885,1885,AUSTRALIA,Queensland,Brisbane ,"No injury to occupant, shark bit off section of the boat's rudder",N,11,South,Spring,1900
1885.11.26,26-Nov-1885,1885,AUSTRALIA,Western Australia,Bunbury,Laceration to calf,N,11,South,Spring,1900
1885.08.17,17-Aug-1885,1885,NORTH ATLANTIC OCEAN,Not applicable,Not applicable,FATAL,Y,8,North,Summer,1900
1885.04.09,09-Apr-1885,1885,NEW ZEALAND,North Island,Auckland,Lacerations to lower leg,N,4,South,Autumn,1900
1885.07.26.b,26-Jul-1885,1885,USA,Hawaii,Kau District,Laceration to torso,N,7,North,Summer,1900
1885.07.26.a,26-Jul-1885,1885,USA,Hawaii,Kau District,FATAL,Y,7,North,Summer,1900
1885.03.28,28-Mar-1885,1885,SOUTH AFRICA,KwaZulu-Natal,Kokstad District,"No injury to occupant, rammed oar in shark's mouth and it bit the oar ",N,3,South,Autumn,1900
1885.07.26.c,26-Jul-1885,1885,USA,Hawaii,Kau District,Left arm severed,N,7,North,Summer,1900
1886.06.02,02-Jun-1886,1886,USA,Hawaii,"Hamakua Homakua, Hawai'i","The body of one woman had been bitten by a shark but it is not known if she was alive at the time, the other woman disappeared",,6,North,Summer,1900
1886.08.00.c,Mid-Aug-1886,1886,USA, New Jersey,"Shrewsbury River, Highlands, Monmouth County","Shark attacked boat, shark killed & towed to shore",N,8,North,Summer,1900
1886.08.00.b,Mid-Aug-1886,1886,USA,New Jersey,"Sandy Hook Bay, Highlands, Monmouth County","No injury, sharks ripped net & bit boat PROVOKED INCIDENT",N,8,North,Summer,1900
1886.06.17,17-Jun-1886,1886,AUSTRALIA,Queensland,Off Bribie Heads,FATAL,Y,6,South,Winter,1900
1886.05.06,06-May-1886,1886,NEW CALEDONIA,South Province,Noumea,FATAL,Y,5,South,Autumn,1900
1886.03.06.R,Reported 06-Mar-1886,1886,NEW ZEALAND,South Island,Dunedin ,Left leg severed. Probably confusion with GSAF 1886.01.28,,3,South,Autumn,1900
1886.04.11,11-Apr-1886,1886,NEW ZEALAND,South Island,Near the mouth of the Clarence River,Probable drowning & scavenging,,4,South,Autumn,1900
1886.01.01,01-Jan-1886,1886,SOUTH AFRICA,Western Cape Province,Groot River,FATAL. Partial remains washed ashore the next day,Y,1,South,Summer,1900
1886.02.13.R,13-Feb-1886,1886,AUSTRALIA,Victoria,Mordialloc,"No injury to occupants, shark shook boat ""stem to stern""",N,2,South,Summer,1900
1886.01.28,28-Jan-1886,1886,SOUTH AFRICA,Eastern Cape Province,"South Jetty, Port Elizabeth","Chest & buttocks bitten, left leg severed at knee",N,1,South,Summer,1900
1886.01.26,26-Jan-1886,1886,AUSTRALIA,Queensland,Not applicable,Foot bitten,N,1,South,Summer,1900
1886.04.26,26-Apr-1886,1886,AUSTRALIA,Queensland,Rothesay Bay,Wrist bitten,N,4,South,Autumn,1900
1887.12.22.R,Reported 22-Dec-1887,1887,HONDURAS,Cortés,Off Puerto Cortez (Caribbean coast),FATAL,Y,12,North,Winter,1900
1887.12.04,04-Dec-1887,1887,AUSTRALIA,New South Wales,"Ryde, Sydney (Estuary)",FATAL,Y,12,South,Summer,1900
1887.10.18,18-Oct-1887,1887,USA,Florida,"Between Lake Worth & Biscayne Bay, near Hillsboro",FATAL,Y,10,North,Autumn,1900
1887.09.22,22-Sep-1887,1887,ITALY,Not applicable,Trieste,Leg injured,N,9,North,Autumn,1900
1887.09.06,11-Sep-1887,1887,CROATIA, Primorje-Gorski Kotar County,Kraljevica,Shoes & human remains found in a shark,,9,North,Autumn,1900
1887.07.30,30-Jul-1887,1887,USA,Gulf of California,Not applicable,FATAL,Y,7,North,Summer,1900
1887.02.08.R,Reported 08-Feb-1887,1887,NEW ZEALAND,North Island,Kaipara,FATAL,Y,2,South,Summer,1900
1887.02.08,08-Feb-1887,1887,SOUTH AFRICA,Western Cape Province,Blaauwberg,"Harpooned shark, bit boat, causing it to ship water. Boat reached shore in sinking condition PROVOKED INCIDENT",N,2,South,Summer,1900
1887.01.20,20-Jan-1887,1887,BRAZIL,Alagoas,Maceió,FATAL,Y,1,South,Summer,1900
1887.01.12,12-Jan-1887,1887,SOUTH AFRICA,Eastern Cape Province,"Mzimvubu River, 9.6 km from the sea","FATAL, flesh removed hip to knee, calf & heel bitten ",Y,1,South,Summer,1900
1887.03.12,12-Mar-1887,1887,AUSTRALIA,South Australia,Black Point,No injury to occupants,N,3,South,Autumn,1900
1888.12.25.R,Reported 25-Dec-1888,1888,AUSTRALIA,Between Perth & Colombo,Not applicable,Foot severed,N,12,South,Summer,1900
1888.08.14,14-Aug-1888,1888,CANADA,Nova Scotia,Off Sable Island,FATAL,Y,8,North,Summer,1900
1888.12.09,09-Dec-1888,1888,AUSTRALIA,New South Wales,"Iron Cove Bridge, Sydney (Estuary)",FATAL,Y,12,South,Summer,1900
1888.10.23.R,Reported 23-Oct-1888,1888,CROATIA, Primorje-Gorski Kotar County,Rijeka,Human remains found in shark,Y,10,North,Autumn,1900
1888.08.01.R,Reported 01-Aug-1888,1888,USA,New York,Not applicable,No injury to occupants. Shark beat away with oar,N,8,North,Summer,1900
1888.02.17,17-Feb-1888,1888,NEW ZEALAND,South Island,Oamaru,"Arm severely lacerated, surgically amputated",N,2,South,Summer,1900
1888.07.13.R,Reported 13-Jul-1888,1888,INDIA,Gujarat,Cutch Coast,"FATAL, only 1 of her crew of 7 survived",Y,7,North,Summer,1900
1888.01.22,22-Jan-1888,1888,AUSTRALIA,New South Wales,Sydney Harbor,"Shark bit boat, but no injury to occupant who swam ashore",N,1,South,Summer,1900
1888.06.18.R,Reported 18-Jun-1888,1888,AUSTRALIA,Victoria,"Point Cook, Port Phillip Bay",Probable drowning & scavenging,,6,South,Winter,1900
1888.07.20.R,Reported 20-Jul-1888,1888,JAMAICA,Not applicable,Not applicable,Human remains recovered from a 10' to 12' shark caught in a turtle net,,7,North,Summer,1900
1888.07.04,04-Jul-1888,1888,CROATIA,Lukovo,Not applicable,Human remains & clothing found in 7' shark,,7,North,Summer,1900
1888.06.24,24-Jun-1888,1888,AUSTRALIA,Victoria,Port Melbourne,"No injury to occupants, shark holed boat",N,6,South,Winter,1900
1889.01.31.R,Reported 31-Jan-1889,1889,USA,Florida,Hillsborough Bay,No injury to occupants. Gaffed shark capsized boat PROVOKED INCIDENT,N,1,North,Winter,1900
1889.07.08,08-Jul-1889,1889,AUSTRALIA,Victoria,Port Phillip,FATAL ,Y,7,South,Winter,1900
1889.07.19,  19-Jul-1889,1889,USA,Texas,West Bay near Galveston ,Leg bitten,N,7,North,Summer,1900
1889.07.21,21-Jul-1889,1889,USA,Florida,"Fernandina, Nassau County","FATAL, calf bitten",Y,7,North,Summer,1900
1889.11.16,16-Nov-1889,1889,USA,Hawaii,Honolulu,Speculated that he was taken by a shark but most likely drowned,,11,North,Autumn,1900
1889.11.22,22-Nov-1889,1889,AUSTRALIA,Queensland,Bowen,FATAL,Y,11,South,Spring,1900
1889.11.29.R,Reported 29-Nov-1889,1889,GREECE,Northern Peloponnese,Patras,"Human remains found in 4m, 900 kg shark",,11,North,Autumn,1900
1889.10.03.R,Reported 03-Oct-1889,1889,INDIA,Tamil Nadu,Madras,FATAL,Y,10,North,Autumn,1900
1890.08.09,9-Aug-1890,1890,USA,Connecticut,"Bridgeport, Fairfield County",Severe lacerations to left arm.,N,8,North,Summer,1900
1890.12.30,30-Dec-1890,1890,AUSTRALIA,Queensland,Moreton Bay,"Fatal, but death may have been due to drowning",,12,South,Summer,1900
1890.12.27.R,Reported 27-Dec-1890,1890,PAPUA NEW GUINEA,Woodlark Islands,Off Panamota,Arm bitten,N,12,South,Summer,1900
1890.10.25.R,Reported 25-Oct-1890,1890,NORTH ATLANTIC OCEAN,Not applicable,Not applicable,FATAL,Y,10,North,Autumn,1900
1890.08.17.R,Reported 17-Aug-1890,1890,USA,New Jersey,"Off Normandie-by-the-Sea, Monmouth County",No injury to occupants. Hooked shark damaged boat PROVOKED INCIDENT,N,8,North,Summer,1900
1890.08.08, 08-Aug-1890,1890,SAMOA,Upolu Island,Apia Harbour,Both legs severed,N,8,South,Winter,1900
1890.06.14.R,Reported 14-Jun-1890,1890,UNITED ARAB EMIRATES,Not applicable,Not applicable,Severe lacerations to foot,N,6,North,Summer,1900
1890.06.02.R,Reported 02-Jun-1890,1890,EGYPT,Not applicable,Port Said,FATAL,Y,6,North,Summer,1900
1890.05.14,14-May-1890,1890,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,"Forensic evidence indicated death resulted from drowning, his body was subsequently scavenged by a shark",,5,South,Autumn,1900
1890.03.03.R,Reported 03-Mar-1890,1890,SRI LANKA,Not applicable,Not applicable,FATAL,Y,3,North,Spring,1900
1890.02.25,25-Feb-1890,1890,MALTA,Munxar Reef,Marsascala,"FATAL, 2 men were lost, presumed taken by the shark",Y,2,North,Winter,1900
1890.06.26,06-26-1890,1890,CROATIA,Not applicable,Fiume,Legs severed ,N,6,North,Summer,1900
1891.12.31.R,Reported 31-Dec-1891,1891,AUSTRALIA,New South Wales,Not applicable,Foot severed,N,12,South,Summer,1900
1891.12.22.R,Reported 22-Dec-1891,1891,NEW ZEALAND,North Island,"Manukau Harbor, 6 miles south of Auckland",Hand bitten,N,12,South,Summer,1900
1891.11.29,29-Nov-1891,1891,MARTINIQUE,Not applicable,Fort de France,Injured,N,11,North,Autumn,1900
1891.09.14.R,Reported 14-Sep-1891,1891,KIRIBATI,Line Islands,Flint Island,"FATAL. Of 38 people in the water, 8 were killed by sharks & 1 man's leg was severed",Y,9,North,Autumn,1900
1891.08.30.R,Reported 30-Aug-1891,1891,CANADA,Nova Scotia,Halifax,FATAL,Y,8,North,Summer,1900
1891.06.11,11-Jun-1891,1891,USA,Virginia,Hampton Roads,"Fatal, but death may have been due to drowning",,6,North,Summer,1900
1891.03.10,10-Mar-1891,1891,PARAGUAY,Not applicable,Not applicable,FATAL,Y,3,South,Autumn,1900
1891.01.08.R,Reported 08-Jan-1891,1891,JAMAICA,Kingston Parish,Port Royal Harbour,FATAL,Y,1,North,Winter,1900
1891.08.29,29-Aug-1891,1891,USA,New Jersey,"Off Longport, Atlantic County","Survived, PROVOKED INCIDENT",N,8,North,Summer,1900
1892.11.06,06-Nov-1892,1892,AUSTRALIA,Queensland,"Wellington Point, Brisbane",Abrasions to left leg,N,11,South,Spring,1900
1892.12.15,15-Dec-1892,1892,NORTH ATLANTIC OCEAN,Not applicable,Not applicable,FATAL,Y,12,North,Winter,1900
1892.11.09.R,Reported 09-Nov-1892,1892,AUSTRALIA,Norfolk Island,Not applicable,Laceration to arm,N,11,South,Spring,1900
1892.09.16.R,Reported 16-Sep-1892,1892,USA,Texas,Velasco,Hand bitten,N,9,North,Autumn,1900
1892.03.02,02-Mar-1892,1892,AUSTRALIA,New South Wales,Lake Macquarie,Lacerations to calf by netted shark PROVOKED INCIDENT,N,3,South,Autumn,1900
1892.06.20.R,Reported 20-Jun-1892,1892,CUBA,Havana Province,Havana Harbor,FATAL,Y,6,North,Summer,1900
1892.05.19.R,Reported 19-May-1892,1892,NEW ZEALAND,North Island,Rockhampton,Minor injury to leg,N,5,South,Autumn,1900
1892.04.21.R,Reported 21-Apr-1892,1892,THE BAHAMAS,Out Islands,Not applicable,"FATAL, leg severed",Y,4,North,Spring,1900
1892.06.24,24-Jun-1892,1892,FRANCE,Brittany,Brest,"No injury, no attack",,6,North,Summer,1900
1893.10.20.R,Reported 20-Oct-1893,1893,INDIA,Bay of Bengal,Madras Harbor,FATAL,Y,10,North,Autumn,1900
1893.10.16,16-Oct-1893,1893,CROATIA, Primorje-Gorski Kotar County,"Off Volusca, Opatija",No injury; no attack,,10,North,Autumn,1900
1893.07.03,03-Jul-1893,1893,PHILIPPINES,Luzon Island,Off Manila,FATAL,Y,7,North,Summer,1900
1893.06.22,22-Jun-1893,1893,LEBANON,Not applicable,Off Tripoli,FATAL,Y,6,North,Summer,1900
1893.05.23.R,Reported 23-May-1893,1893,FIJI,Not applicable,Between Kadavu & Beqa,FATAL,Y,5,South,Autumn,1900
1893.06.22.R,Reported 22-Jun-1893,1893,NIGERIA,Bayelsa State,Mouth of the Nun River,FATAL,Y,6,North,Summer,1900
1893.04.15,Reported 15-Apr-1893,1893,SOUTH ATLANTIC OCEAN,Not applicable,Not applicable,"One leg severed by the shark, the other surgically amputated",N,4,South,Autumn,1900
1893.04.14,14-Apr-1893,1893,AUSTRALIA,Queensland,Torres Strait,Leg bitten,N,4,South,Autumn,1900
1893.04.04,04-Apr-1893,1893,AUSTRALIA,Tasmania,"Chimney Point, Georges Bay","Fatal, probable drowning",,4,South,Autumn,1900
1893.01.30.R,Reported 30-Jan-1893,1893,NEW ZEALAND,South Island?,Downs River,FATAL,Y,1,South,Summer,1900
1893.01.18.R,Reported 18-Jan-1893,1893,FRENCH POLYNESIA,Not applicable,One week out of Pápete,FATAL.Tossed overboard to sharks by Rodrigue brothers who were later executed in Manila,Y,1,South,Summer,1900
1893.05.17,17-May-1893,1893,CUBA,Havana Province,Havana Harbor,FATAL,Y,5,North,Spring,1900
1894.09.01.R,Reported 01-Sep-1894,1894,USA,Texas,Rockport,Laceration to calf  PROVOKED INCIDENT,N,9,North,Autumn,1900
1894.12.11,11-Dec-1894,1894,USA,Florida,"North Beach, St. Augustine",Left leg bitten PROVOKED INCIDENT,N,12,North,Winter,1900
1894.11.28,28-Nov-1894,1894,AUSTRALIA,New South Wales,Newcastle ,"""Lost his arm""",N,11,South,Spring,1900
1894.10.06.R,Reported 06-Oct-1894,1894,USA,Alabama,Mobile Bay,FATAL,Y,10,North,Autumn,1900
1894.09.12.R,Reported 12-Sep-1894,1894,USA,Virginia,Norfolk,Lacerations to leg,N,9,North,Autumn,1900
1894.09.06.R,Reported 06-Sep-1894,1894,FIJI,Vita Levu,Rewa River,Foot severed,N,9,South,Spring,1900
1894.08.21,21-Aug-1894,1894,USA,New York,"Woolsey's Point, East River",No injury,UNKNOWN,8,North,Summer,1900
1894.06.15.b.R,Reported 15-Jun-1894,1894,USA,North Carolina,"New Bern, Craven County",Right leg bitten,N,6,North,Summer,1900
1894.07.15.R,Reportd 15-Jul-1894,1894,FRANCE,Provence,"la Badine, Hyères ",No injury,Y,7,North,Summer,1900
1894.06.29,29-Jun-1894,1894,USA,Florida,Anastasia Island,"""Painfully injured"" but no details",UNKNOWN,6,North,Summer,1900
1894.06.25,25-Jun-1894,1894,SOUTH AFRICA,Western Cape Province,Simons Town,FATAL,Y,6,South,Winter,1900
1894.06.15.a.R,Reported 15-Jun-1894,1894,MEXICO,Bay of Campeche,Not applicable,FATAL ,Y,6,North,Summer,1900
1894.04.28.b.R,Reported 28-Apr-1894,1894,BANGLADESH,Rangoon,Amherst,FATAL,Y,4,North,Spring,1900
